brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Ford,Utility Police Interceptor Base,2013,3.7,V6,6-speed auto,E85 Flex Fuel,black,51000,Damage reported,10300
Hyundai,Palisade SEL,2021,3.8,V6,8-speed auto,Gasoline,N/A,34742,Damage reported,38005
Lexus,limited_model,2022,3.5,,automatic,Gasoline,blue,22372,None reported,54598
INFINITI,limited_model,2015,3.5,V6,7-speed auto,Hybrid,black,88900,None reported,15500
Audi,limited_model,2021,2.0,4Cyl,8-speed auto,Gasoline,white,9835,None reported,34999
Acura,limited_model,2016,2.4,,automatic,Gasoline,silver,136397,None reported,14798
Audi,S3 2.0T Premium Plus,2017,2.0,4Cyl,6-speed auto,Gasoline,blue,84000,None reported,31000
BMW,limited_model,2001,4.4,V8,automatic,Gasoline,N/A,242000,None reported,7300
Lexus,limited_model,2021,3.5,V6,6-speed auto,Gasoline,black,23436,None reported,41927
Tesla,Model X Long Range Plus,2020,0.0,,automatic,,black,34000,None reported,69950
Land Rover,limited_model,2021,,V6,automatic,Gasoline,white,27608,None reported,73897
Other,DBS Superleggera,2019,5.2,12Cyl,8-speed auto,Gasoline,silver,22770,None reported,184606
Toyota,Supra 3.0 Premium,2021,3.0,I6,automatic,Gasoline,N/A,12500,None reported,53500
Other,Aviator Reserve AWD,2022,3.0,V6,automatic,Gasoline,black,18196,None reported,62000
Other,limited_model,2020,2.0,,automatic,Gasoline,silver,15903,None reported,47998
Land Rover,LR4 HSE,2013,5.0,V8,automatic,Gasoline,white,79800,None reported,29990
Mercedes-Benz,Metris Base,2021,2.0,4Cyl,9-speed auto,Gasoline,grey,1685,None reported,250000
Dodge,Challenger SXT,2013,3.6,V6,automatic,Gasoline,black,61074,None reported,16800
Nissan,350Z Enthusiast,2003,3.5,V6,6-speed manual,Gasoline,N/A,74000,None reported,11000
Other,F-TYPE R,2018,5.0,V8,8-speed auto,Gasoline,N/A,35250,None reported,68750
Other,GV70 3.5T Sport,2023,3.5,V6,8-speed auto,Gasoline,N/A,5400,,60000
Chevrolet,limited_model,2000,2.2,4Cyl,automatic,E85 Flex Fuel,blue,133510,None reported,4500
BMW,limited_model,2020,3.0,,automatic,Gasoline,white,25990,None reported,38598
Ford,F-150 XLT,2023,3.5,V6,automatic,Gasoline,silver,2823,None reported,58504
Chevrolet,Suburban RST,2021,5.3,V8,10-speed auto,Gasoline,blue,52000,None reported,61000
Hyundai,Elantra N Base,2022,2.0,4Cyl,automatic,Gasoline,black,11650,None reported,32300
Nissan,limited_model,2016,1.8,,automatic,Gasoline,blue,96541,None reported,13998
Mercedes-Benz,limited_model,2021,2.0,4Cyl,automatic,Gasoline,grey,17500,None reported,59995
